piecemeal 逐个的
frenzy 狂暴
delinquent 有过失的
exquisite 精致的
infirmary 医务室；养老院
profanity 亵渎
flagrant 公然
altruism 利他
chiffonier 小衣橱
denounce 谴责
loath 不情愿
elusive 难懂的
grotesque 奇异风格的
dogma 教条
penchant 嗜好
allegedly 据说
aristocratic 贵族的
leek 韭菜
pavilion 亭子
avert 避免
slump 骤降
conundrum 难题
ravage 毁坏
serendipity 意外发现珍奇事物的本领
redamancy 爱的回报
iridescent 彩虹色的
woebegone 忧愁的
petrichor 下雨时的尘土味
aquiver 一颤
somnambulist 梦游者
limerence 狂热的爱恋
epiphany 对真谛的领悟
ethereal 空灵飘渺
hiraeth 对回不去的家乡的思念
sonder 恍然意识到
somnambulant 梦游
limerick 打油诗
vellichor 旧书店沉思之感
molasses 糖蜜
ubiquitous 普遍的
bout 回合
boisterous 喧闹的
halitosis 口臭
clod 土块
clot 块；血块
malignant 恶性
benign 良性
incubator 孵化器
chronic 慢性的
haemorrhage 出血
rife 充满
gratification 满意
misogyny 厌女
redact 编造，编辑
languishing 渴望的
flourish 兴旺
reminiscent 怀旧的
knead 糅合
prudence 审慎
abolition 废除
dewdrop 露珠
bawl 大叫
stimulus 刺激
humility 谦卑
stenographer 速记员
pedagogical 教育
pretentious 炫耀的
invigorating 振兴
phonology 音韵学
versed 精通
digress 离题
squeal 告密
ostracize 放逐
constitute 构成
sobriety 清醒
indulge 纵容；满足
sonority 响亮
deteriorate 恶化
abdicate 退位；辞职
pessimism 悲观
fortify 加强
demise 死亡
recede 后退
chasten 惩罚
tether 系
regurgitation 反刍
distraught 心烦意乱
undue 过分的
disservice 伤害；帮倒忙
elation 兴高采烈
loll 懒洋洋地倚靠
tamper 干扰；篡改
embezzlement 贪污
variola 天花
pathology 病理学
paleontology 古生物学
arcanist 巧匠
succumb 屈服
homoscedasticity 同方差性
lisp 口齿不清
visage 面貌
amicable 友善的
perpetrator 犯罪者
conscription 征兵
gilt 镀金；小母猪
gilding 镀金
insignia 徽章；标志
henchman 亲信
extravagant 奢侈
turmoil 混乱
pervasive 普遍
pouch 小包
blasphemy 亵渎神明
eccentric 乖张
deface 损伤
coarse 粗糙
reprehensible 应斥责的
exonerate 免罪
subsist 存在
founder 失败
acquiesce 默许
porous 多孔
extricate 解脱
devise 设计；发明
aphorism 格言
onlooker 观众
xenophobic 恐惧外国人的
patriarchy 父系社会
matriarchy 母系社会
desist 停止
condone 赦免
reminiscent 怀旧的
enumeration 列举
alleviate 减轻
obscure 昏暗的，朦胧的
emulate 模仿；仿真
haematology 血液病学
